,"Task 7: In the 'Behavior correlation chart', how variable is overal success of the trainees accross the clusters? "
P1 ,much variable
P2 ,quite a lot
P3 ,"If success is represented by the total score, then most clusters have similar score -- not too variable"
P4 ,it varies but I find n=12 and 3 having the best performance 
P5,the success vary a lot between the selected groups
P6,"one extraordinary group, the others not much"
P7 ,"There are four main groups: ""normal"" clusters from T5,  best (red cluster),  bad (brown), and one with player that didnt play the game correctly."
P8 ,two groups of people with different levels of knowledge and ability to play the game
P9 ,the results are rather variable (score total a time played)
remarks:,"- task used to get Ps remarks on overal interppretation of results. 
- in general, most Ps ranked two groups of trainees. Majority who didn't perform too well and one group who was a lot more successful.
- many Ps (6) described the clusters as very variable with different results. This implies they chose the right number of clusers for analysis.
- P7 described 4 groups - normal, good, bad, unusual - he used the total score as a measure.
- P3 measured the success by the whole 'total score' axis length instead of comparing the clusters and thus found the success variability lower. The rest of Ps compared the clusters in relative scale between each other"
,
,"Task 8: In the dataset of 'Hacking Day Cyber Task Force Delta' (all levels), determine which strategy (which cluster of trainees) was the most successful? "
P1 ,light blue cluster with n=2 (high score and time played)
P2 ,knowledge of the subject
P3 ,Red because of highest score and least wrong answers submitted
P4 ,yellow and red 
P5,the blue cluster
P6,"Cluster n.2 (purple) -- fast, reasonable time, minimal wrong answers and guessing"
P7 ,The blue one cluster (elbow 4).
P8 ,first and last
P9 ,orange
remarks:,"- results are quite overlaping, majority reported the same clusters
- some players reported two most similar clusters, that only differed by number of wring flags and slightly different total time.
- here, most compared success by score x time, because there were two very similar clusters, but one had slightly lower time than the other. Here, some Ps ignored the high number of flags as a factor that lowers the success rate."
